2020-07-13 14:36:31.216 [main] INFO  com.test.demo.DemoApplication - Starting DemoApplication on bogon with PID 35310 (/Users/chao/IdeaProjects/ranking-list-top/target/classes started by chao in /Users/chao/IdeaProjects/ranking-list-top)
2020-07-13 14:36:31.223 [main] INFO  com.test.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-07-13 14:36:32.310 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-07-13 14:36:32.314 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-07-13 14:36:32.347 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
2020-07-13 14:36:32.808 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-13 14:36:32.817 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-13 14:36:32.818 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-13 14:36:32.818 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-07-13 14:36:32.917 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-13 14:36:32.918 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1581 ms
2020-07-13 14:36:33.541 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-13 14:36:34.047 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-13 14:36:34.061 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-13 14:36:34.629 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2020-07-13 14:36:34.638 [main] INFO  com.test.demo.DemoApplication - Started DemoApplication in 3.862 seconds (JVM running for 4.54)
2020-07-13 14:36:57.324 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-13 14:36:57.324 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-07-13 14:36:57.333 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2020-07-13 14:40:52.080 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-13 14:40:57.781 [main] INFO  com.test.demo.DemoApplication - Starting DemoApplication on bogon with PID 35416 (/Users/chao/IdeaProjects/ranking-list-top/target/classes started by chao in /Users/chao/IdeaProjects/ranking-list-top)
2020-07-13 14:40:57.784 [main] INFO  com.test.demo.DemoApplication - No active profile set, falling back to default profiles: default
2020-07-13 14:40:58.459 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-07-13 14:40:58.461 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-07-13 14:40:58.483 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2020-07-13 14:40:58.858 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-13 14:40:58.867 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-13 14:40:58.868 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-13 14:40:58.869 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-07-13 14:40:58.946 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-13 14:40:58.946 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1128 ms
2020-07-13 14:40:59.573 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-13 14:41:00.001 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-13 14:41:00.017 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-13 14:41:00.603 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2020-07-13 14:41:00.611 [main] INFO  com.test.demo.DemoApplication - Started DemoApplication in 3.152 seconds (JVM running for 3.755)
2020-07-13 14:41:05.089 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-13 14:41:05.089 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-07-13 14:41:05.094 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-07-13 14:41:05.228 [http-nio-8080-exec-1] INFO  com.test.demo.RankingListController - 获取到的排行列表：["李四","张三","张三99999","张三99998","张三99997","张三99996","张三99995","张三99994","张三99993","张三99992","张三99991"]
2020-07-13 14:41:05.250 [http-nio-8080-exec-1] INFO  com.test.demo.RankingListController - 获取到的分数列表：[{"score":9000.0,"value":"李四"},{"score":9000.0,"value":"张三"},{"score":2.0,"value":"张三99999"},{"score":2.0,"value":"张三99998"},{"score":2.0,"value":"张三99997"},{"score":2.0,"value":"张三99996"},{"score":2.0,"value":"张三99995"},{"score":2.0,"value":"张三99994"},{"score":2.0,"value":"张三99993"},{"score":2.0,"value":"张三99992"},{"score":2.0,"value":"张三99991"}]
